,precision,recall,f1-score,support
bcc,0.7123809523809523,0.44260355029585796,0.545985401459854,845.0
mel,0.2,0.19230769230769232,0.19607843137254902,52.0
scc,0.18243243243243243,0.421875,0.25471698113207547,192.0
sk,0.3639344262295082,0.4723404255319149,0.4111111111111111,235.0
accuracy,0.4350453172205438,0.4350453172205438,0.4350453172205438,0.4350453172205438
macro avg,0.36468695276072327,0.38228166703386635,0.3519729812688974,1324.0
weighted avg,0.5535600618979352,0.4350453172205438,0.46606534301617725,1324.0
