,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,4,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,84,17,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
3,1,0,16,38,0,0,0,0,0,0,2,2,1,0,2,0,0,2,1,0,1,0,6,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,0,0,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0
5,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,0,0,0,0,0,0,0,13,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
8,0,0,0,0,2,0,0,2,72,0,2,2,1,0,0,0,0,2,0,0,2,0,2,0,0,0,0,1,0,0,3,0,0,0,0,0,13,9,0,0
9,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,0,0,0,0,0,0,0,0,0,0,23,3,0,0,4,0,1,3,3,0,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11,0,0,2,3,0,0,1,0,0,0,0,71,4,0,20,0,1,14,2,0,0,0,20,35,0,0,0,1,0,0,7,0,0,0,0,0,0,11,1,0
12,0,0,0,0,0,0,0,0,1,0,0,3,66,0,7,0,8,2,0,0,0,0,2,8,0,0,0,3,0,0,0,4,0,0,0,0,1,7,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,0,0,1,1,0,0,0,0,1,0,0,25,5,1,35,0,2,3,0,0,1,0,5,45,0,0,1,0,0,0,0,2,0,0,0,0,0,4,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,17,0,0,0,0,0,4,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
17,0,0,0,0,0,0,0,0,4,0,3,25,1,0,3,0,0,74,3,0,1,0,6,13,1,0,0,0,0,0,0,1,0,0,0,0,1,13,0,0
18,1,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,2,33,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,0,0,0,1,0,0,0,0,1,2,2,0,0,0,1,0,0,2,0,0,27,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,6,5,0,0,0,0,0,0,3,23,0,0,14,0,0,5,4,0,3,0,124,129,0,0,0,0,0,0,3,0,0,0,0,0,0,6,1,1
23,0,0,5,23,0,1,0,0,10,0,10,95,7,0,87,0,2,16,3,0,8,0,270,830,0,1,0,0,0,3,10,4,0,0,1,0,2,12,4,1
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
