fold,accuracy,precision_macro,recall_macro_sensitivity,f1_macro,specificity_macro,fpr_macro,iou_macro,ppv_macro,roc_auc_macro_ovr,pr_auc_macro,train_samples,validation_samples
1,0.5126254943717675,0.6309745130137193,0.5001693791794208,0.5334206382776354,0.9855078058750266,0.01449219412497343,0.40880393165677537,0.6309745130137193,0.918759818528564,0.5166853659598221,6573,3287
2,0.5272284758138119,0.5581228852466685,0.518048458320809,0.5275544408127212,0.9859958867154027,0.014004113284597195,0.39722461818790666,0.5581228852466685,0.9207748582819306,0.5291007135342726,6573,3287
3,0.5194765672550213,0.5897190323977469,0.5164147357733929,0.5356102876729223,0.9857398010012834,0.014260198998716589,0.40741899686652816,0.5897190323977469,0.9359041049566642,0.5355432745766037,6574,3286
