,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,4,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,78,14,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
3,1,0,14,35,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,0,5,11,0,0,0,0,0,1,1,0,0,0,0,0,3,0,1,0
4,0,0,0,0,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,4,0,0
5,0,0,0,0,0,10,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
6,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,1,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,0,0,0,0,1,0,0,0,67,1,0,3,2,0,0,0,1,6,1,0,2,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,16,7,0,0
9,0,0,0,0,1,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
10,1,0,0,0,1,0,0,0,2,0,19,2,1,0,0,0,0,3,4,0,0,0,4,2,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0
11,0,0,0,1,0,0,0,0,1,0,2,68,2,0,15,0,0,16,2,0,0,0,23,45,0,0,0,1,0,1,2,1,0,0,0,0,0,11,1,0
12,0,0,1,0,0,1,0,0,2,0,0,4,67,0,5,0,10,0,0,0,0,0,1,4,0,0,0,0,0,0,3,3,0,0,0,0,3,5,3,0
13,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,0,0,0,3,0,0,0,0,2,0,0,19,8,1,27,0,2,2,3,0,0,0,18,37,0,0,1,0,0,0,1,1,0,0,0,0,0,7,0,0
