class,roc_auc,average_precision
BCC,0.6117972600709071,0.7204652941629978
MEL,0.7911223996129657,0.16125643184044913
SCC,0.5868392962308598,0.20325883225829164
SK,0.7435906453314577,0.3589176374138876
MACRO,0.6833374003115475,0.3609745489189065
