Metric,EfficientNetV2L_mean_percent,EfficientNetV2L_SD_percent,LogisticRegression_mean_percent,LogisticRegression_SD_percent
Accuracy,23.05249295086054,3.34013689405563,51.97768458135336,0.73061201850708
Macro Precision,19.51927209009284,3.00199507559934,59.293881021937835,3.6532384865934104
Macro Recall,38.58546753110083,10.498967068166811,51.15441910912077,0.98846862298141
Macro F1,19.268061933013982,4.56517235587404,53.21951222544262,0.41654032579223
ROC-AUC,85.4375742647207,5.45152860082789,92.51462605890528,0.93708861843595
PR-AUC,31.840353246452107,9.590601361389629,52.710978469023274,0.9585302686730499
