metric,n_folds,shapiro_statistic,shapiro_p_value
accuracy,3,0.7773904816620207,0.06159382342789799
precision_macro,3,0.9161297997553794,0.43885930046677424
recall_macro,3,0.8411103513114296,0.2169570208591941
f1_macro,3,0.9238009175497157,0.46586303255405503
specificity_macro,3,0.8213777126497078,0.16662654721358483
fpr_macro,3,0.8213777126497394,0.16662654721366366
iou_macro,3,0.8535420283988973,0.2499693117861489
roc_auc_macro_ovr,3,0.7885533337569012,0.08745495491655897
pr_auc_macro,3,0.8492017944580256,0.23831772711094013
