metric,n_folds,efficientnet_mean,baseline_mean,mean_difference,paired_t_statistic,paired_t_p_value,t_test_significant_alpha_0_05
accuracy,3,0.2305249295086054,0.5197768458135336,-0.2892519163049282,-12.775021139390278,0.006071658592363187,True
precision_macro,3,0.19519272090092846,0.5929388102193783,-0.39774608931844974,-18.18729338542498,0.0030095382454065045,True
recall_macro,3,0.3858546753110083,0.5115441910912076,-0.1256895157801993,-1.9816735533196757,0.18602034862630917,False
f1_macro,3,0.19268061933013989,0.5321951222544262,-0.3395145029242865,-12.334860481596216,0.0065084187734776614,True
specificity_macro,3,0.9800350112253692,0.9857478311972376,-0.005712819971868492,-9.758268872427013,0.010338993555227459,True
fpr_macro,3,0.019964988774630866,0.014252168802762333,0.005712819971868534,9.758268872426058,0.010338993555229454,True
iou_macro,3,0.11328109879116303,0.4044825155704033,-0.29120141677924033,-16.934289216159346,0.003468978696967475,True
roc_auc_macro_ovr,3,0.854375742647207,0.9251462605890529,-0.07077051794184604,-1.9193282889197996,0.1949384869073813,False
pr_auc_macro,3,0.31840353246452113,0.5271097846902327,-0.20870625222571162,-3.4831777881299355,0.07345669435208226,False
