fold,efficientnet_accuracy,baseline_accuracy,efficientnet_precision,baseline_precision,efficientnet_recall,baseline_recall,efficientnet_f1,baseline_f1,efficientnet_specificity,baseline_specificity,efficientnet_iou,baseline_iou,efficientnet_roc_auc,baseline_roc_auc,efficientnet_pr_auc,baseline_pr_auc
1,0.2686340127776088,0.5126254943717675,0.2205614846311338,0.6309745130137193,0.449949758551536,0.5001693791794208,0.2321301274017581,0.5334206382776354,0.9809614000488462,0.9855078058750266,0.1385385549003249,0.4088039316567753,0.8877466394095432,0.918759818528564,0.380348164775177,0.5166853659598221
2,0.2166108913903255,0.5272284758138119,0.2029660225188851,0.5581228852466685,0.4429233285048045,0.518048458320809,0.203235926366993,0.5275544408127212,0.9797882144618736,0.9859958867154028,0.1191849325193519,0.3972246181879066,0.8839147882656768,0.9207748582819306,0.3669303379598889,0.5291007135342726
3,0.2063298843578819,0.5194765672550213,0.1620506555527666,0.5897190323977469,0.2646909388766844,0.5164147357733929,0.1426758042216685,0.5356102876729223,0.9793554191653876,0.9857398010012834,0.0821198089538123,0.4074189968665281,0.7914658002664007,0.9359041049566642,0.2079320946584975,0.5355432745766037
