metric,n,mean,sd,lower_95CI,upper_95CI
accuracy,3,0.2305249295086054,0.03340136894055638,0.14755132929928313,0.3134985297179277
precision_macro,3,0.19519272090092846,0.030019950755993417,0.12061902912307737,0.26976641267877954
recall_macro,3,0.3858546753110083,0.10498967068166819,0.1250458750264284,0.6466634755955882
f1_macro,3,0.19268061933013989,0.04565172355874046,0.07927545123147173,0.30608578742880804
specificity_macro,3,0.9800350112253692,0.000830948332546955,0.9779708211359732,0.9820992013147651
fpr_macro,3,0.019964988774630866,0.0008309483325470235,0.01790079868523475,0.022029178864026982
iou_macro,3,0.11328109879116303,0.028668975619332106,0.04206341529792937,0.1844987822843967
roc_auc_macro_ovr,3,0.854375742647207,0.054515286008278985,0.718952264807186,0.9897992204872279
pr_auc_macro,3,0.31840353246452113,0.09590601361389639,0.08015978726260053,0.5566472776664417
