metric,n_oof_samples,bootstrap_replicates,bootstrap_mean,ci95_lower_percentile,ci95_upper_percentile
accuracy,9860,2000,0.5197216531440163,0.5101419878296146,0.5293128803245436
precision_macro,9860,2000,0.5955160248709165,0.5546352030742251,0.6251951673366541
recall_macro_sensitivity,9860,2000,0.5105028153625136,0.47891955038691325,0.5418756253269363
f1_macro,9860,2000,0.5355561121498486,0.5044564133949571,0.5644379265966983
specificity_macro,9860,2000,0.9857456993652224,0.985444447886718,0.9860389471741818
fpr_macro,9860,2000,0.014254300634777622,0.013961052825818183,0.014555552113282093
iou_macro,9860,2000,0.4021921157810325,0.3697032088440833,0.4331371329402606
ppv_macro,9860,2000,0.5955160248709165,0.5546352030742251,0.6251951673366541
