accuracy,precision_macro,recall_macro_sensitivity,f1_macro,specificity_macro,fpr_macro,iou_macro,ppv_macro
0.5155172413793103,0.5786800509386492,0.4882558432067684,0.5133078647339363,0.9855319918365277,0.01446800816347229,0.38152298570073967,0.5786800509386492
0.5290060851926978,0.6236578709978102,0.5151470407327678,0.548736484250101,0.9860511093124842,0.013948890687515796,0.41291356508496824,0.6236578709978102
0.5165314401622718,0.6168266127948824,0.4979122250537147,0.5332819441497919,0.9856163527541024,0.014383647245897524,0.3846100329980992,0.6168266127948824
0.5240365111561867,0.5970267021809075,0.5179747399287223,0.5406703672216763,0.9858772151232437,0.014122784876756455,0.41204868237103137,0.5970267021809075
0.5231237322515213,0.5820532303990928,0.5198249554048384,0.5406599067338534,0.9859089279247734,0.014091072075226646,0.4056593391677164,0.5820532303990928
0.5101419878296146,0.5976384239630463,0.512771751232961,0.5398361988639854,0.9854865424433452,0.014513457556654688,0.40478240335924837,0.5976384239630463
0.5195740365111562,0.6029622691707912,0.501993050417363,0.5293308985193413,0.9857562101177477,0.014243789882252233,0.3828197241670569,0.6029622691707912
0.5146044624746451,0.6078196735300955,0.5360278294088757,0.5539431420946319,0.98565862873858,0.014341371261419985,0.42274674131285767,0.6078196735300955
0.5219066937119675,0.6028144722795221,0.4993941999153728,0.5313932659576962,0.9858578583368015,0.014142141663198604,0.39418013262794405,0.6028144722795221
0.5156186612576065,0.5792320267168707,0.48743392462679236,0.5117983925731886,0.985545948700804,0.014454051299195825,0.38421100968548877,0.5792320267168707
0.5198782961460446,0.5667543585841223,0.5026183705907109,0.5232477253709057,0.9857684474080584,0.014231552591941527,0.38185659136645766,0.5667543585841223
0.5139959432048682,0.5894760062980142,0.49596881564459583,0.5235106534695889,0.9856224574576886,0.014377542542311309,0.3916253353338897,0.5894760062980142
0.517342799188641,0.6001387724646668,0.49463739047693106,0.5268245160416265,0.9857755951559362,0.014224404844063693,0.386740803661877,0.6001387724646668
0.5119675456389452,0.6004642968084332,0.49686512811871697,0.5293576840145842,0.9855057223274851,0.014494277672514868,0.39377113472100567,0.6004642968084332
0.5178498985801218,0.6011734870308619,0.5106924342981902,0.5342130912360908,0.9856767758702137,0.014323224129786327,0.39963027595387157,0.6011734870308619
0.5273833671399595,0.572848941172694,0.5200984544761267,0.5359393814970173,0.9859584129966036,0.01404158700339644,0.4102719408395311,0.572848941172694
0.5162271805273834,0.5947633918748322,0.5131160809058274,0.5366691673538393,0.9856290680081365,0.014370931991863553,0.4043386545900699,0.5947633918748322
0.5168356997971603,0.5729989075459155,0.501331818176696,0.5245115549400806,0.9856624002512804,0.01433759974871969,0.39049013549336636,0.5729989075459155
0.512474645030426,0.5771826425326478,0.4858251862821145,0.5130874988113112,0.9855557237526048,0.014444276247395199,0.3818138663063145,0.5771826425326478
