metric,n_folds,efficientnet_mean,baseline_mean,mean_difference,efficientnet_std,baseline_std,shapiro_statistic,shapiro_p_value,paired_t_statistic,paired_t_p_value,wilcoxon_statistic,wilcoxon_p_value,direction,t_test_significant_alpha_0_05,wilcoxon_significant_alpha_0_05
accuracy,3,0.2305249295086054,0.5197768458135336,-0.2892519163049282,0.03340136894055638,0.007306120185070873,0.7773904816620207,0.06159382342789799,-12.775021139390278,0.006071658592363187,0.0,0.25,Baseline higher,True,False
precision_macro,3,0.19519272090092846,0.5929388102193783,-0.39774608931844974,0.030019950755993417,0.03653238486593413,0.9161297997553794,0.43885930046677424,-18.18729338542498,0.0030095382454065045,0.0,0.25,Baseline higher,True,False
recall_macro,3,0.3858546753110083,0.5115441910912076,-0.1256895157801993,0.10498967068166819,0.009884686229814199,0.8411103513114296,0.2169570208591941,-1.9816735533196757,0.18602034862630917,0.0,0.25,Baseline higher,False,False
f1_macro,3,0.19268061933013989,0.5321951222544262,-0.3395145029242865,0.04565172355874046,0.004165403257922304,0.9238009175497157,0.46586303255405503,-12.334860481596216,0.0065084187734776614,0.0,0.25,Baseline higher,True,False
specificity_macro,3,0.9800350112253692,0.9857478311972376,-0.005712819971868492,0.000830948332546955,0.00024413948824572614,0.8213777126497078,0.16662654721358483,-9.758268872427013,0.010338993555227459,0.0,0.25,Baseline higher,True,False
fpr_macro,3,0.019964988774630866,0.014252168802762333,0.005712819971868534,0.0008309483325470235,0.00024413948824576808,0.8213777126497394,0.16662654721366366,9.758268872426058,0.010338993555229454,0.0,0.25,EfficientNetV2-L higher,True,False
iou_macro,3,0.11328109879116303,0.4044825155704033,-0.29120141677924033,0.028668975619332106,0.0063235525540987604,0.8535420283988973,0.2499693117861489,-16.934289216159346,0.003468978696967475,0.0,0.25,Baseline higher,True,False
roc_auc_macro_ovr,3,0.854375742647207,0.9251462605890529,-0.07077051794184604,0.054515286008278985,0.009370886184359557,0.7885533337569012,0.08745495491655897,-1.9193282889197996,0.1949384869073813,0.0,0.25,Baseline higher,False,False
pr_auc_macro,3,0.31840353246452113,0.5271097846902327,-0.20870625222571162,0.09590601361389639,0.009585302686730541,0.8492017944580256,0.23831772711094013,-3.4831777881299355,0.07345669435208226,0.0,0.25,Baseline higher,False,False
