metric,mean,sd,min,max
accuracy,0.2305249295086054,0.03340136894055637,0.2063298843578819,0.2686340127776088
precision_macro,0.19519272090092854,0.030019950755993428,0.16205065555276663,0.22056148463113384
recall_macro,0.38585467531100837,0.10498967068166817,0.26469093887668443,0.44994975855153607
f1_macro,0.1926806193301399,0.045651723558740455,0.14267580422166856,0.23213012740175812
specificity_macro,0.9800350112253691,0.0008309483325470003,0.9793554191653875,0.9809614000488462
fpr_macro,0.0199649887746309,0.0008309483325469861,0.019038599951153777,0.020644580834612503
iou_macro,0.11328109879116306,0.028668975619332092,0.08211980895381235,0.13853855490032493
roc_auc_macro_ovr,0.854375742647207,0.054515286008278985,0.7914658002664007,0.8877466394095432
pr_auc_macro,0.31840353246452113,0.09590601361389639,0.2079320946584975,0.380348164775177
