Metric,EfficientNetV2L_mean,Baseline_mean,Mean_difference,Shapiro_p,Paired_t_test_p,Wilcoxon_p,Higher_mean
accuracy,0.2305249295086054,0.5197768458135336,-0.2892519163049282,0.0615938234278979,0.0060716585923631,0.25,Baseline higher
precision_macro,0.1951927209009284,0.5929388102193783,-0.3977460893184497,0.4388593004667742,0.0030095382454065,0.25,Baseline higher
recall_macro,0.3858546753110083,0.5115441910912076,-0.1256895157801993,0.2169570208591941,0.1860203486263091,0.25,Baseline higher
f1_macro,0.1926806193301398,0.5321951222544262,-0.3395145029242865,0.465863032554055,0.0065084187734776,0.25,Baseline higher
specificity_macro,0.9800350112253692,0.9857478311972376,-0.0057128199718684,0.1666265472135848,0.0103389935552274,0.25,Baseline higher
fpr_macro,0.0199649887746308,0.0142521688027623,0.0057128199718685,0.1666265472136636,0.0103389935552294,0.25,EfficientNetV2-L higher
iou_macro,0.113281098791163,0.4044825155704033,-0.2912014167792403,0.2499693117861489,0.0034689786969674,0.25,Baseline higher
roc_auc_macro_ovr,0.854375742647207,0.9251462605890528,-0.070770517941846,0.0874549549165589,0.1949384869073813,0.25,Baseline higher
pr_auc_macro,0.3184035324645211,0.5271097846902327,-0.2087062522257116,0.2383177271109401,0.0734566943520822,0.25,Baseline higher
