Metric,EfficientNetV2-L_mean_SD,LogisticRegression_mean_SD,EfficientNetV2L_mean,EfficientNetV2L_SD,LogisticRegression_mean,LogisticRegression_SD
Accuracy,0.2305 ± 0.0334,0.5198 ± 0.0073,0.2305249295086054,0.03340136894055638,0.5197768458135336,0.007306120185070873
Macro Precision,0.1952 ± 0.0300,0.5929 ± 0.0365,0.19519272090092846,0.030019950755993417,0.5929388102193783,0.03653238486593413
Macro Recall,0.3859 ± 0.1050,0.5115 ± 0.0099,0.3858546753110083,0.10498967068166819,0.5115441910912076,0.009884686229814199
Macro F1,0.1927 ± 0.0457,0.5322 ± 0.0042,0.19268061933013989,0.04565172355874046,0.5321951222544262,0.004165403257922304
Specificity,0.9800 ± 0.0008,0.9857 ± 0.0002,0.9800350112253692,0.000830948332546955,0.9857478311972376,0.00024413948824572614
FPR,0.0200 ± 0.0008,0.0143 ± 0.0002,0.019964988774630866,0.0008309483325470235,0.014252168802762333,0.00024413948824576808
IoU,0.1133 ± 0.0287,0.4045 ± 0.0063,0.11328109879116303,0.028668975619332106,0.4044825155704033,0.0063235525540987604
ROC-AUC,0.8544 ± 0.0545,0.9251 ± 0.0094,0.854375742647207,0.054515286008278985,0.9251462605890529,0.009370886184359557
PR-AUC,0.3184 ± 0.0959,0.5271 ± 0.0096,0.31840353246452113,0.09590601361389639,0.5271097846902327,0.009585302686730541
