Class,Precision,Recall,F1,Support
bcc,0.7123809523809523,0.4426035502958579,0.545985401459854,845.0
mel,0.2,0.1923076923076923,0.196078431372549,52.0
scc,0.1824324324324324,0.421875,0.2547169811320754,192.0
sk,0.3639344262295082,0.4723404255319149,0.4111111111111111,235.0
