fold,accuracy,precision_macro,recall_macro,f1_macro,specificity_macro,fpr_macro,iou_macro,roc_auc_macro_ovr,pr_auc_macro
1,0.2686340127776088,0.22056148463113384,0.44994975855153607,0.23213012740175812,0.9809614000488462,0.019038599951153777,0.13853855490032493,0.8877466394095432,0.380348164775177
2,0.21661089139032552,0.2029660225188851,0.4429233285048045,0.20323592636699309,0.9797882144618736,0.020211785538126425,0.11918493251935196,0.8839147882656768,0.36693033795988894
3,0.2063298843578819,0.16205065555276663,0.26469093887668443,0.14267580422166856,0.9793554191653875,0.020644580834612503,0.08211980895381235,0.7914658002664007,0.2079320946584975
