accuracy,loss,val_accuracy,val_loss,learning_rate
0.04153354465961456,4.354477882385254,0.09735321253538132,3.8395612239837646,9.999999747378752e-05
0.06983112543821335,3.694563150405884,0.16732582449913025,3.384289026260376,9.999999747378752e-05
0.09615091979503632,3.2989020347595215,0.20322482287883759,3.183466672897339,9.999999747378752e-05
0.11227750033140182,3.16450572013855,0.21143899857997894,3.111626386642456,9.999999747378752e-05
0.12247071415185928,2.904151678085327,0.22908426821231842,2.9772167205810547,9.999999747378752e-05
0.13235965371131897,2.7535765171051025,0.22178277373313904,3.142796277999878,9.999999747378752e-05
0.1471169888973236,2.61100435256958,0.21083053946495056,3.1453959941864014,9.999999747378752e-05
0.14422638714313507,2.4509339332580566,0.2163066565990448,2.992596387863159,4.999999873689376e-05
0.15639738738536835,2.5723254680633545,0.23516884446144104,2.911283254623413,4.999999873689376e-05
0.15867944061756134,2.317600965499878,0.22239123284816742,3.0551137924194336,4.999999873689376e-05
0.16080936789512634,2.385462760925293,0.2497718334197998,2.8520143032073975,4.999999873689376e-05
0.16309143602848053,2.3152060508728027,0.24459993839263916,2.922513961791992,4.999999873689376e-05
0.1687205284833908,2.3199195861816406,0.2430787980556488,2.853411912918091,4.999999873689376e-05
0.17024189233779907,2.285736322402954,0.24794645607471466,2.8470771312713623,2.499999936844688e-05
0.18013083934783936,2.221438407897949,0.24034073948860168,2.904581308364868,2.499999936844688e-05
0.1849992424249649,2.2890408039093018,0.26559171080589294,2.77188777923584,2.499999936844688e-05
0.1849992424249649,2.1655521392822266,0.24764223396778107,2.866546392440796,2.499999936844688e-05
0.18439069390296936,2.183377981185913,0.26133251190185547,2.80352783203125,2.499999936844688e-05
0.19108474254608154,2.1759698390960693,0.26924246549606323,2.7507519721984863,1.249999968422344e-05
0.1894112229347229,2.1427619457244873,0.257073312997818,2.8371365070343018,1.249999968422344e-05
