,acb,acd,ajb,ajd,ak,alm,angk,anm,bcc,bd,bdb,cb,ccb,ccd,cd,ch,cjb,db,df,dfsp,ha,isl,jb,jd,ks,la,lk,lm,lmm,ls,mcb,mel,mpd,pg,rd,sa,scc,sk,sl,srjd
acb,4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
acd,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ajb,4,4,58,33,0,4,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,1,1,0,0,0,0,0,0,0
ajd,4,0,17,31,1,1,4,1,1,1,3,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,2
ak,0,0,0,0,7,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
alm,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
angk,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anm,0,1,0,0,0,2,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bcc,0,1,0,0,2,4,6,9,36,2,4,0,0,0,0,0,0,1,4,2,1,0,0,0,0,0,0,0,3,0,2,4,1,0,0,5,26,0,0,0
bd,0,0,0,0,0,1,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bdb,0,0,0,0,0,0,3,1,0,0,19,0,0,0,1,0,0,1,4,0,1,0,1,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,2,3
cb,0,2,1,1,1,1,5,0,6,0,23,21,3,8,16,0,3,16,16,0,11,0,4,8,0,4,1,0,3,6,14,4,3,2,1,2,3,0,3,1
ccb,2,0,3,0,0,6,5,0,0,0,2,1,21,8,5,0,17,2,4,0,0,1,2,0,0,4,0,6,7,1,5,5,1,1,0,0,0,0,2,1
ccd,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0
cd,0,0,0,2,1,1,2,1,0,0,9,11,0,7,33,0,0,3,5,1,7,1,1,7,1,5,1,5,3,4,3,7,0,3,2,3,0,0,3,0
ch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cjb,0,1,0,1,0,0,0,0,1,0,1,0,3,0,2,0,15,0,0,0,1,0,0,0,0,2,1,1,2,1,3,0,0,1,1,0,0,0,1,0
