,acb,acd,ajb,ajd,ak,alm,angk,anm,bcc,bd,bdb,cb,ccb,ccd,cd,ch,cjb,db,df,dfsp,ha,isl,jb,jd,ks,la,lk,lm,lmm,ls,mcb,mel,mpd,pg,rd,sa,scc,sk,sl,srjd
db,1,0,0,0,0,0,6,2,3,0,10,8,1,1,3,3,2,54,10,0,5,1,2,2,1,4,0,0,2,5,2,4,3,3,0,3,5,0,1,2
df,0,0,0,2,0,0,3,2,0,0,3,0,0,0,0,0,1,0,29,0,1,0,1,0,0,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0
dfsp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ha,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,25,0,0,0,0,5,1,0,0,1,0,0,0,1,0,2,4,0,0,0
isl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jb,2,1,13,13,0,1,9,0,1,0,48,7,1,1,18,0,2,6,23,2,28,1,35,24,0,5,2,0,0,25,29,0,0,3,1,4,1,0,11,10
jd,6,3,24,31,2,13,20,2,4,6,157,43,2,24,139,1,12,8,75,3,57,2,112,178,2,31,13,16,6,145,111,42,13,9,12,12,5,0,33,31
ks,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
la,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lk,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm,0,0,0,0,1,2,0,0,0,0,1,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,5,4,0,0,3,0,0,0,1,0,0,0,0
lmm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
ls,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
mcb,0,1,2,1,0,0,0,0,0,0,5,1,0,1,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,1,13,0,0,0,0,1,1,0,0,1
mel,2,0,0,1,0,4,1,4,1,0,1,0,1,1,3,1,0,0,1,0,1,0,0,0,2,0,0,0,4,0,0,10,0,0,1,0,0,0,1,0
mpd,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
rd,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
sa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
scc,0,1,0,0,1,1,3,6,10,2,0,0,0,1,0,2,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,2,0,1,0,0,34,1,0,0
sk,3,2,3,0,5,0,20,1,7,0,14,3,3,0,0,3,2,21,13,3,2,0,1,0,2,4,4,3,2,7,4,7,1,3,1,3,8,2,5,0
sl,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,2,0,0,0,3,0
srjd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
